Link_ID,QBER,Signal_Count,Decoy_Count,Attacked_Flag,Key_Loss,Source_Node,Dest_Node,Secure_Key_Rate,Key_Rate_Cost
Link_Node_A_Node_B,0.0133,6309,1261,0,0.0,Node_A,Node_B,0.295149,0.0
Link_Node_A_Node_C,0.0111,5754,1150,0,0.0,Node_A,Node_C,0.279584,0.0
Link_Node_B_Node_D,0.2504,2731,209,1,0.9799,Node_B,Node_D,0.0,0.10209
Link_Node_C_Node_D,0.0296,6025,1205,0,0.0,Node_C,Node_D,0.211281,0.039777
Link_Node_A_Node_B,0.0159,6309,1261,0,0.0,Node_A,Node_B,0.282228,0.0
Link_Node_A_Node_C,0.0153,5754,1150,0,0.0,Node_A,Node_C,0.260073,0.0
Link_Node_B_Node_D,0.0149,5011,1002,0,0.0,Node_B,Node_D,0.228075,0.0
Link_Node_C_Node_D,0.0243,6025,1205,0,0.0,Node_C,Node_D,0.232703,0.018354
Link_Node_A_Node_B,0.2277,3176,199,1,0.8156,Node_A,Node_B,0.0,0.117195
Link_Node_A_Node_C,0.0239,5754,1150,0,0.0,Node_A,Node_C,0.223803,0.015934
Link_Node_B_Node_D,0.0151,5011,1002,0,0.0,Node_B,Node_D,0.227291,0.0
Link_Node_C_Node_D,0.0249,6025,1205,0,0.0,Node_C,Node_D,0.230216,0.020842
Link_Node_A_Node_B,0.0294,6309,1261,0,0.0,Node_A,Node_B,0.22204,0.040824
Link_Node_A_Node_C,0.018,5754,1150,0,0.0,Node_A,Node_C,0.248224,0.0
Link_Node_B_Node_D,0.184,2205,147,1,0.9133,Node_B,Node_D,0.0,0.081672
Link_Node_C_Node_D,0.0251,6025,1205,0,0.0,Node_C,Node_D,0.22939,0.021667
Link_Node_A_Node_B,0.0199,6309,1261,0,0.0,Node_A,Node_B,0.263323,0.0
Link_Node_A_Node_C,0.0232,5754,1150,0,0.0,Node_A,Node_C,0.226608,0.013129
Link_Node_B_Node_D,0.0139,5011,1002,0,0.0,Node_B,Node_D,0.232034,0.0
Link_Node_C_Node_D,0.0126,6025,1205,0,0.0,Node_C,Node_D,0.28531,0.0
Link_Node_A_Node_B,0.0205,6309,1261,0,0.0,Node_A,Node_B,0.260576,0.002288
Link_Node_A_Node_C,0.0266,5754,1150,0,0.0,Node_A,Node_C,0.213191,0.026547
Link_Node_B_Node_D,0.014,5011,1002,0,0.0,Node_B,Node_D,0.231635,0.0
Link_Node_C_Node_D,0.0176,6025,1205,0,0.0,Node_C,Node_D,0.261752,0.0
Link_Node_A_Node_B,0.027,6309,1261,0,0.0,Node_A,Node_B,0.232062,0.030802
Link_Node_A_Node_C,0.011,5754,1150,0,0.0,Node_A,Node_C,0.280068,0.0
Link_Node_B_Node_D,0.0217,5011,1002,0,0.0,Node_B,Node_D,0.202667,0.006131
Link_Node_C_Node_D,0.0276,6025,1205,0,0.0,Node_C,Node_D,0.219224,0.031834
Link_Node_A_Node_B,0.0597,5570,1041,1,0.1908,Node_A,Node_B,0.097609,0.131954
Link_Node_A_Node_C,0.0261,5754,1150,0,0.0,Node_A,Node_C,0.215132,0.024605
Link_Node_B_Node_D,0.0246,5011,1002,0,0.0,Node_B,Node_D,0.192497,0.016301
Link_Node_C_Node_D,0.0267,6025,1205,0,0.0,Node_C,Node_D,0.222852,0.028205
Link_Node_A_Node_B,0.0219,6309,1261,0,0.0,Node_A,Node_B,0.254248,0.008616
Link_Node_A_Node_C,0.0275,5754,1150,0,0.0,Node_A,Node_C,0.209722,0.030015
Link_Node_B_Node_D,0.0211,5011,1002,0,0.0,Node_B,Node_D,0.204816,0.003982
Link_Node_C_Node_D,0.0113,6025,1205,0,0.0,Node_C,Node_D,0.291776,0.0
Link_Node_A_Node_B,0.0121,6309,1261,0,0.0,Node_A,Node_B,0.301311,0.0
Link_Node_A_Node_C,0.0215,5754,1150,0,0.0,Node_A,Node_C,0.233518,0.006219
Link_Node_B_Node_D,0.0207,5011,1002,0,0.0,Node_B,Node_D,0.206257,0.002541
Link_Node_C_Node_D,0.0112,6025,1205,0,0.0,Node_C,Node_D,0.292281,0.0
Link_Node_A_Node_B,0.029,6309,1261,0,0.0,Node_A,Node_B,0.223694,0.03917
Link_Node_A_Node_C,0.0263,5754,1150,0,0.0,Node_A,Node_C,0.214354,0.025383
Link_Node_B_Node_D,0.0204,5011,1002,0,0.0,Node_B,Node_D,0.207343,0.001455
Link_Node_C_Node_D,0.026,6025,1205,0,0.0,Node_C,Node_D,0.225699,0.025359
Link_Node_A_Node_B,0.0223,6309,1261,0,0.0,Node_A,Node_B,0.25246,0.010404
Link_Node_A_Node_C,0.0209,5754,1150,0,0.0,Node_A,Node_C,0.235991,0.003746
Link_Node_B_Node_D,0.0216,5011,1002,0,0.0,Node_B,Node_D,0.203024,0.005774
Link_Node_C_Node_D,0.0159,6025,1205,0,0.0,Node_C,Node_D,0.269552,0.0
Link_Node_A_Node_B,0.0217,6309,1261,0,0.0,Node_A,Node_B,0.255145,0.007719
Link_Node_A_Node_C,0.0263,5754,1150,0,0.0,Node_A,Node_C,0.214354,0.025383
Link_Node_B_Node_D,0.0256,5011,1002,0,0.0,Node_B,Node_D,0.189068,0.01973
Link_Node_C_Node_D,0.0154,6025,1205,0,0.0,Node_C,Node_D,0.271885,0.0
Link_Node_A_Node_B,0.0234,6309,1261,0,0.0,Node_A,Node_B,0.247587,0.015277
Link_Node_A_Node_C,0.019,5754,1150,0,0.0,Node_A,Node_C,0.243952,0.0
Link_Node_B_Node_D,0.02,5011,1002,0,0.0,Node_B,Node_D,0.208798,0.0
Link_Node_C_Node_D,0.0661,5712,1017,1,0.1868,Node_C,Node_D,0.081223,0.152438
Link_Node_A_Node_B,0.025,6309,1261,0,0.0,Node_A,Node_B,0.24061,0.022254
Link_Node_A_Node_C,0.015,5754,1150,0,0.0,Node_A,Node_C,0.26142,0.0
Link_Node_B_Node_D,0.0146,5011,1002,0,0.0,Node_B,Node_D,0.229256,0.0
Link_Node_C_Node_D,0.0115,6025,1205,0,0.0,Node_C,Node_D,0.290771,0.0
Link_Node_A_Node_B,0.0288,6309,1261,0,0.0,Node_A,Node_B,0.224523,0.038341
Link_Node_A_Node_C,0.0173,5754,1150,0,0.0,Node_A,Node_C,0.25125,0.0
Link_Node_B_Node_D,0.0227,5011,1002,0,0.0,Node_B,Node_D,0.19912,0.009678
Link_Node_C_Node_D,0.0261,6025,1205,0,0.0,Node_C,Node_D,0.225291,0.025767
Link_Node_A_Node_B,0.0265,6309,1261,0,0.0,Node_A,Node_B,0.234181,0.028683
Link_Node_A_Node_C,0.0167,5754,1150,0,0.0,Node_A,Node_C,0.253869,0.0
Link_Node_B_Node_D,0.013,5011,1002,0,0.0,Node_B,Node_D,0.235656,0.0
Link_Node_C_Node_D,0.0242,6025,1205,0,0.0,Node_C,Node_D,0.233119,0.017938
Link_Node_A_Node_B,0.0202,6309,1261,0,0.0,Node_A,Node_B,0.261947,0.000917
Link_Node_A_Node_C,0.0179,5754,1150,0,0.0,Node_A,Node_C,0.248654,0.0
Link_Node_B_Node_D,0.0229,5011,1002,0,0.0,Node_B,Node_D,0.198416,0.010382
Link_Node_C_Node_D,0.0161,6025,1205,0,0.0,Node_C,Node_D,0.268624,0.0
Link_Node_A_Node_B,0.0229,6309,1261,0,0.0,Node_A,Node_B,0.249794,0.01307
Link_Node_A_Node_C,0.0233,5754,1150,0,0.0,Node_A,Node_C,0.226206,0.013532
Link_Node_B_Node_D,0.011,5011,1002,0,0.0,Node_B,Node_D,0.243923,0.0
Link_Node_C_Node_D,0.0267,6025,1205,0,0.0,Node_C,Node_D,0.222852,0.028205
Link_Node_A_Node_B,0.0295,6309,1261,0,0.0,Node_A,Node_B,0.221628,0.041236
